iter	Passed	Remaining
0	48	48392
1	50	25301
2	53	17753
3	56	13987
4	58	11700
5	61	10170
6	63	9071
7	66	8230
8	68	7567
9	71	7050
10	72	6540
11	74	6169
12	76	5840
13	78	5553
14	80	5295
15	82	5067
16	84	4863
17	85	4679
18	87	4504
19	88	4349
20	90	4204
21	91	4067
22	92	3944
23	94	3823
24	95	3712
25	96	3606
26	97	3509
27	98	3417
28	99	3331
29	100	3248
30	101	3170
31	102	3097
32	103	3027
33	104	2960
34	105	2897
35	105	2836
36	106	2777
37	107	2720
38	108	2667
39	109	2616
40	109	2567
41	110	2521
42	111	2475
43	111	2432
44	112	2390
45	113	2350
46	114	2311
47	114	2274
48	115	2238
49	116	2205
50	116	2171
51	117	2138
52	117	2107
53	118	2076
54	119	2048
55	119	2021
56	120	1994
57	121	1967
58	121	1941
59	122	1916
60	122	1892
61	123	1868
62	124	1846
63	124	1824
64	125	1803
65	125	1781
66	126	1760
67	126	1740
68	127	1720
69	128	1701
70	128	1682
71	129	1665
72	129	1648
73	130	1631
74	130	1614
75	131	1603
76	133	1603
77	134	1587
78	134	1572
79	135	1558
80	136	1543
81	136	1529
82	137	1515
83	137	1501
84	138	1488
85	138	1475
86	139	1462
87	139	1449
88	140	1437
89	141	1425
90	141	1414
91	142	1402
92	142	1392
93	143	1381
94	143	1371
95	144	1360
96	145	1350
97	145	1340
98	146	1330
99	146	1320
100	147	1310
101	147	1301
102	148	1292
103	148	1282
104	149	1274
105	150	1265
106	150	1257
107	151	1248
108	151	1240
109	152	1232
110	152	1224
111	153	1216
112	154	1208
113	154	1201
114	155	1193
115	155	1186
116	156	1178
117	156	1171
118	157	1164
119	157	1157
120	158	1150
121	158	1143
122	159	1137
123	160	1130
124	160	1123
125	161	1117
126	161	1111
127	162	1105
128	162	1099
129	163	1093
130	163	1087
131	164	1081
132	165	1075
133	165	1070
134	166	1064
135	166	1058
136	167	1053
137	167	1048
138	168	1043
139	168	1037
140	169	1032
141	170	1027
142	170	1022
143	171	1018
144	171	1013
145	172	1008
146	172	1003
147	173	999
148	174	994
149	174	989
150	175	985
151	175	980
152	176	976
153	176	971
154	177	967
155	177	962
156	178	958
157	179	954
158	179	949
159	180	945
160	180	941
161	181	937
162	181	933
163	182	929
164	182	926
165	183	922
166	184	918
167	184	914
168	185	911
169	185	907
170	186	903
171	186	899
172	187	896
173	188	892
174	188	889
175	189	885
176	189	882
177	190	879
178	190	875
179	191	872
180	191	868
181	192	865
182	193	861
183	193	858
184	194	856
185	195	853
186	195	850
187	196	847
188	196	844
189	197	841
190	197	838
191	198	835
192	199	832
193	199	829
194	200	826
195	200	823
196	201	820
197	201	817
198	202	814
199	202	811
200	203	809
201	204	806
202	204	803
203	205	801
204	205	798
205	206	795
206	206	792
207	207	790
208	208	787
209	208	784
210	209	782
211	209	779
212	210	777
213	210	774
214	211	771
215	211	769
216	212	766
217	213	764
218	213	761
219	214	759
220	214	756
221	215	754
222	215	752
223	216	749
224	217	747
225	217	745
226	218	743
227	218	740
228	219	738
229	219	736
